Transaction Date,Account Number,Transaction Type,Amount,Description
2023-04-25,ACC1007,Online Transfer,3708,Utilities
2023-12-03,ACC1004,ATM Withdrawal,-3825,Online Purchase
2023-03-08,ACC1003,Deposit,-160,Rent
2023-03-06,ACC1007,Online Transfer,4551,Groceries
2023-06-07,ACC1003,Online Transfer,-4605,Rent
2023-11-10,ACC1008,Online Transfer,1321,Groceries
2023-08-02,ACC1009,Direct Debit,4793,Groceries
2023-12-22,ACC1002,Card Payment,-2368,Salary
2023-08-06,ACC1004,Withdrawal,-268,Transfer
2023-02-01,ACC1002,Online Transfer,3738,Salary
2023-01-05,ACC1009,ATM Withdrawal,2013,Transfer
2023-08-05,ACC1008,Online Transfer,-3462,Groceries
2023-09-13,ACC1001,Card Payment,-1314,Salary
2023-12-20,ACC1008,Direct Debit,-2137,Groceries
2023-01-23,ACC1000,Online Transfer,-827,Groceries
2023-01-27,ACC1007,Deposit,4830,Utilities
2023-01-11,ACC1004,Online Transfer,2127,Groceries
2023-12-08,ACC1000,Deposit,-139,Groceries
2023-07-22,ACC1002,Card Payment,-155,Online Purchase
2023-05-02,ACC1007,Online Transfer,1120,Online Purchase
2023-05-04,ACC1006,Online Transfer,1187,Transfer
2023-07-26,ACC1003,ATM Withdrawal,-4574,Transfer
2023-08-26,ACC1006,Deposit,4976,Rent
2023-11-20,ACC1003,Deposit,-238,Transfer
2023-06-13,ACC1009,ATM Withdrawal,2681,Online Purchase
2023-07-14,ACC1008,Card Payment,-1280,Online Purchase
2023-02-23,ACC1005,Direct Debit,4825,Utilities
2023-03-09,ACC1006,Online Transfer,-2991,Rent
2023-05-11,ACC1004,Deposit,3617,Online Purchase
2023-01-01,ACC1009,Card Payment,122,Transfer
2023-02-17,ACC1002,Online Transfer,-1962,Online Purchase
2023-11-24,ACC1006,Card Payment,4108,Groceries
2023-05-13,ACC1006,Direct Debit,603,Utilities
2023-09-18,ACC1009,Direct Debit,-547,Salary
2023-12-04,ACC1000,Direct Debit,-307,Salary
2023-02-10,ACC1000,Card Payment,-1319,Rent
2023-09-14,ACC1008,Direct Debit,-3210,Utilities
2023-12-28,ACC1005,Card Payment,-4186,Online Purchase
2023-05-04,ACC1001,Direct Debit,-192,Salary
2023-08-07,ACC1006,Card Payment,1114,Rent
2023-10-10,ACC1001,Withdrawal,2174,Salary
2023-08-10,ACC1009,ATM Withdrawal,-479,Online Purchase
2023-08-13,ACC1009,ATM Withdrawal,-1650,Salary
2023-02-14,ACC1005,Card Payment,-1546,Utilities
2023-02-23,ACC1003,Online Transfer,-3345,Online Purchase
2023-07-21,ACC1005,Online Transfer,-752,Salary
2023-08-04,ACC1005,Withdrawal,2820,Rent
2023-04-15,ACC1009,Direct Debit,-2640,Transfer
2023-08-28,ACC1003,ATM Withdrawal,1930,Transfer
2023-09-18,ACC1001,Deposit,-694,Online Purchase
2023-10-11,ACC1004,Online Transfer,1638,Groceries
2023-03-26,ACC1000,ATM Withdrawal,1111,Groceries
2023-05-08,ACC1006,Online Transfer,-2963,Salary
2023-03-09,ACC1002,Online Transfer,-3935,Rent
2023-02-18,ACC1006,Direct Debit,1208,Salary
2023-02-17,ACC1000,Withdrawal,-4752,Online Purchase
2023-02-28,ACC1003,Withdrawal,1595,Transfer
2023-08-12,ACC1001,Direct Debit,-4092,Salary
2023-07-02,ACC1001,Deposit,-1553,Online Purchase
2023-05-10,ACC1000,Withdrawal,1986,Online Purchase
2023-04-25,ACC1001,Card Payment,2897,Salary
2023-06-14,ACC1006,Deposit,-1339,Groceries
2023-09-05,ACC1007,Withdrawal,-1433,Groceries
2023-10-23,ACC1000,ATM Withdrawal,-2762,Rent
2023-10-16,ACC1002,Direct Debit,3352,Utilities
2023-06-21,ACC1005,Direct Debit,-691,Rent
2023-04-22,ACC1004,Card Payment,989,Groceries
2023-05-26,ACC1001,ATM Withdrawal,3204,Groceries
2023-11-01,ACC1009,Direct Debit,-1780,Groceries
2023-01-07,ACC1004,Withdrawal,1109,Online Purchase
2023-11-21,ACC1003,ATM Withdrawal,4447,Transfer
2023-01-10,ACC1009,Withdrawal,4853,Utilities
2023-02-10,ACC1003,Card Payment,-1208,Salary
2023-08-25,ACC1000,Online Transfer,1453,Groceries
2023-03-01,ACC1001,Card Payment,4903,Utilities
2023-05-19,ACC1002,Deposit,768,Salary
2023-07-20,ACC1005,Card Payment,4070,Utilities
2023-08-26,ACC1006,Online Transfer,-2375,Utilities
2023-09-18,ACC1008,Deposit,-3006,Rent
2023-09-19,ACC1009,Card Payment,3078,Groceries
2023-07-03,ACC1002,Direct Debit,-3133,Online Purchase
2023-05-08,ACC1001,Deposit,-2098,Rent
2023-11-08,ACC1004,ATM Withdrawal,-1404,Transfer
2023-12-05,ACC1004,Card Payment,4186,Utilities
2023-07-03,ACC1002,Deposit,682,Transfer
2023-05-14,ACC1007,Online Transfer,1836,Salary
2023-04-05,ACC1002,Card Payment,4120,Rent
2023-05-10,ACC1009,Withdrawal,3187,Rent
2023-06-14,ACC1002,ATM Withdrawal,2250,Groceries
2023-01-28,ACC1002,Direct Debit,-2154,Transfer
2023-06-28,ACC1002,Deposit,4438,Rent
2023-01-03,ACC1001,Deposit,-2272,Salary
2023-11-28,ACC1001,Card Payment,-837,Rent
2023-01-08,ACC1009,ATM Withdrawal,-1032,Online Purchase
2023-12-19,ACC1001,ATM Withdrawal,2276,Online Purchase
2023-11-11,ACC1002,Direct Debit,-4543,Online Purchase
2023-02-28,ACC1007,Withdrawal,4083,Utilities
2023-07-04,ACC1004,Card Payment,-76,Utilities
2023-12-18,ACC1002,Withdrawal,-3480,Utilities
2023-03-24,ACC1000,Online Transfer,283,Salary
2023-03-23,ACC1007,Withdrawal,1972,Transfer
2023-01-16,ACC1004,Deposit,-3937,Rent
2023-07-28,ACC1009,Deposit,-4128,Rent
2023-09-25,ACC1002,Withdrawal,3765,Transfer
2023-12-17,ACC1005,Direct Debit,-2544,Transfer
2023-09-01,ACC1009,ATM Withdrawal,2834,Salary
2023-06-19,ACC1007,Card Payment,4863,Transfer
2023-09-16,ACC1004,Withdrawal,3747,Rent
2023-11-09,ACC1008,ATM Withdrawal,1996,Salary
2023-09-14,ACC1004,Deposit,-4780,Salary
2023-02-19,ACC1004,Direct Debit,-4550,Groceries
2023-05-08,ACC1000,Deposit,-3329,Rent
2023-09-01,ACC1004,Card Payment,1852,Rent
2023-05-18,ACC1006,Online Transfer,-4145,Utilities
2023-09-14,ACC1005,Withdrawal,3967,Rent
2023-08-21,ACC1009,Withdrawal,3469,Online Purchase
2023-11-16,ACC1000,ATM Withdrawal,-3208,Online Purchase
2023-06-16,ACC1007,Withdrawal,-1731,Online Purchase
2023-12-16,ACC1007,Online Transfer,-3697,Rent
2023-04-19,ACC1004,ATM Withdrawal,4258,Online Purchase
2023-01-04,ACC1000,Withdrawal,2958,Rent
2023-10-10,ACC1006,ATM Withdrawal,3936,Utilities
2023-08-12,ACC1002,Direct Debit,1014,Utilities
2023-11-17,ACC1007,Card Payment,2166,Rent
2023-05-12,ACC1006,ATM Withdrawal,4562,Online Purchase
2023-10-15,ACC1008,ATM Withdrawal,-3908,Salary
2023-08-23,ACC1009,Withdrawal,3448,Rent
2023-01-11,ACC1005,Deposit,3686,Online Purchase
2023-02-20,ACC1003,Deposit,-3243,Online Purchase
2023-07-04,ACC1000,Deposit,-4182,Transfer
2023-04-11,ACC1006,Direct Debit,-3232,Groceries
2023-07-21,ACC1007,Withdrawal,-4848,Transfer
2023-01-21,ACC1002,Online Transfer,-3928,Transfer
2023-07-22,ACC1004,Deposit,4851,Rent
2023-11-22,ACC1005,ATM Withdrawal,-1111,Transfer
2023-05-16,ACC1003,Card Payment,954,Rent
2023-12-13,ACC1003,Direct Debit,-51,Transfer
2023-07-12,ACC1004,Direct Debit,-3825,Rent
2023-02-23,ACC1007,Withdrawal,-1929,Utilities
2023-11-04,ACC1007,Card Payment,1259,Transfer
2023-09-16,ACC1003,Withdrawal,-757,Salary
2023-10-25,ACC1005,Deposit,-569,Utilities
2023-01-05,ACC1001,Deposit,-3475,Transfer
2023-03-28,ACC1003,Direct Debit,3715,Groceries
2023-09-09,ACC1008,Withdrawal,-222,Rent
2023-09-27,ACC1002,Card Payment,4071,Rent
2023-11-02,ACC1009,Card Payment,-3680,Groceries
